type,code,name,local,language,rsystem,parent
city,RS-00*,Beograd,,sr,UN III/11 1977,
district,RS-14*,Borski okrug,,sr,UN III/11 1977,
district,RS-11*,Braničevski okrug,,sr,UN III/11 1977,
district,RS-23*,Jablanički okrug,,sr,UN III/11 1977,
district,RS-04*,Južnobanatski okrug,,sr,UN III/11 1977,RS-VO
district,RS-06*,Južnobački okrug,,sr,UN III/11 1977,RS-VO
district,RS-09*,Kolubarski okrug,,sr,UN III/11 1977,
autonomous province,RS-KM,Kosovo-Metohija,,sr,UN III/11 1977,
district,RS-25*,Kosovski okrug,,sr,UN III/11 1977,RS-KM
district,RS-28*,Kosovsko-Mitrovački okrug,,sr,UN III/11 1977,RS-KM
district,RS-29*,Kosovsko-Pomoravski okrug,,sr,UN III/11 1977,RS-KM
district,RS-08*,Mačvanski okrug,,sr,UN III/11 1977,
district,RS-17*,Moravički okrug,,sr,UN III/11 1977,
district,RS-20*,Nišavski okrug,,sr,UN III/11 1977,
district,RS-26*,Pećki okrug,,sr,UN III/11 1977,RS-KM
district,RS-22*,Pirotski okrug,,sr,UN III/11 1977,
district,RS-10*,Podunavski okrug,,sr,UN III/11 1977,
district,RS-13*,Pomoravski okrug,,sr,UN III/11 1977,
district,RS-27*,Prizrenski okrug,,sr,UN III/11 1977,RS-KM
district,RS-24*,Pčinjski okrug,,sr,UN III/11 1977,
district,RS-19*,Rasinski okrug,,sr,UN III/11 1977,
district,RS-18*,Raški okrug,,sr,UN III/11 1977,
district,RS-03*,Severnobanatski okrug,,sr,UN III/11 1977,RS-VO
district,RS-01*,Severnobački okrug,,sr,UN III/11 1977,RS-VO
district,RS-02*,Srednjebanatski okrug,,sr,UN III/11 1977,RS-VO
district,RS-07*,Sremski okrug,,sr,UN III/11 1977,RS-VO
district,RS-21*,Toplički okrug,,sr,UN III/11 1977,
autonomous province,RS-VO,Vojvodina,,sr,UN III/11 1977,
district,RS-15*,Zaječarski okrug,,sr,UN III/11 1977,
district,RS-05*,Zapadnobački okrug,,sr,UN III/11 1977,RS-VO
district,RS-16*,Zlatiborski okrug,,sr,UN III/11 1977,
district,RS-12*,Šumadijski okrug,,sr,UN III/11 1977,
county,HU-BA,Baranya,,hu,,
county,HU-BZ,Borsod-Abaúj-Zemplén,,hu,,
capital city,HU-BU,Budapest,,hu,,
county,HU-BK,Bács-Kiskun,,hu,,
county,HU-BE,Békés,,hu,,
city with county rights,HU-BC,Békéscsaba,,hu,,
county,HU-CS,Csongrád,,hu,,
city with county rights,HU-DE,Debrecen,,hu,,
city with county rights,HU-DU,Dunaújváros,,hu,,
city with county rights,HU-EG,Eger,,hu,,
county,HU-FE,Fejér,,hu,,
city with county rights,HU-GY,Győr,,hu,,
county,HU-GS,Győr-Moson-Sopron,,hu,,
county,HU-HB,Hajdú-Bihar,,hu,,
county,HU-HE,Heves,,hu,,
city with county rights,HU-HV,Hódmezővásárhely,,hu,,
county,HU-JN,Jász-Nagykun-Szolnok,,hu,,
city with county rights,HU-KV,Kaposvár,,hu,,
city with county rights,HU-KM,Kecskemét,,hu,,
county,HU-KE,Komárom-Esztergom,,hu,,
city with county rights,HU-MI,Miskolc,,hu,,
city with county rights,HU-NK,Nagykanizsa,,hu,,
city with county rights,HU-NY,Nyíregyháza,,hu,,
county,HU-NO,Nógrád,,hu,,
county,HU-PE,Pest,,hu,,
city with county rights,HU-PS,Pécs,,hu,,
city with county rights,HU-ST,Salgótarján,,hu,,
county,HU-SO,Somogy,,hu,,
city with county rights,HU-SN,Sopron,,hu,,
county,HU-SZ,Szabolcs-Szatmár-Bereg,,hu,,
city with county rights,HU-SD,Szeged,,hu,,
city with county rights,HU-SS,Szekszárd,,hu,,
city with county rights,HU-SK,Szolnok,,hu,,
city with county rights,HU-SH,Szombathely,,hu,,
city with county rights,HU-SF,Székesfehérvár,,hu,,
city with county rights,HU-TB,Tatabánya,,hu,,
county,HU-TO,Tolna,,hu,,
county,HU-VA,Vas,,hu,,
county,HU-VE,Veszprém,,hu,,
city with county rights,HU-VM,Veszprém,,hu,,
county,HU-ZA,Zala,,hu,,
city with county rights,HU-ZE,Zalaegerszeg,,hu,,
city with county rights,HU-ER*,Érd,,hu,,
